PageLocation,EventTimestamp,PageSequenceInSession,SessionNumber
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:04:42.697000,34,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:09:34.400000,35,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:12:18.843000,36,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:16:23.540000,37,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:19:47.706000,38,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:21:52.114000,39,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:31:08.872000,40,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:33:36.392000,41,32664953
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:44:53.576000,42,32664953
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 02:54:56.227000,43,32664953
https://www.mybank.com.tw/mybank,2016-08-24 02:06:19.474000,10,32669623
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:06:52.653000,11,32669623
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 02:00:47.876000,15,32671131
https://www.cathaybk.com.tw/cathaybk/card/card/iDebit_1.asp,2016-08-24 02:03:09.680000,3,32672428
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:03:36.198000,4,32672428
https://www.cathaybk.com.tw/cathaybk/card/card/iDebit_1.asp,2016-08-24 02:04:06.128000,5,32672428
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:04:59.694000,6,32672428
https://www.cathaybk.com.tw/cathaybk/card/card/iDebit_1.asp,2016-08-24 02:05:14.772000,7,32672428
https://www.cathaybk.com.tw/cathaybk/about_query01.asp,2016-08-24 02:07:28.114000,8,32672428
https://www.cathaybk.com.tw/cathaybk/about_query01a.asp,2016-08-24 02:07:39.100000,9,32672428
https://www.cathaybk.com.tw/cathaybk/about_query01.asp,2016-08-24 02:07:47.621000,10,32672428
https://www.cathaybk.com.tw/cathaybk/about_query01a.asp,2016-08-24 02:08:00.930000,11,32672428
https://www.mybank.com.tw/mybank/,2016-08-24 02:05:25.116000,6,32672824
https://www.cathaybk.com.tw/cathaybk/mobile/index.asp#nav_news,2016-08-24 02:05:26.945000,7,32672824
https://www.cathaybk.com.tw/cathaybk/credit-reserve.asp,2016-08-24 02:03:57.580000,26,32672928
https://www.mybank.com.tw/mybank/,2016-08-24 02:04:00.618000,27,32672928
https://www.mybank.com.tw/MyBank/Quicklinks/Home/ReLogin,2016-08-24 02:04:02.433000,28,32672928
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:00:42.560000,6,32673007
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout,2016-08-24 02:21:32.166000,7,32673007
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 02:36:34.799000,7,32673362
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 02:36:36.410000,8,32673362
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:36:54.158000,9,32673362
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:36:57.908000,10,32673362
https://www.mybank.com.tw/MyBank/Home/Logout,2016-08-24 02:54:31.830000,11,32673362
https://www.mybank.com.tw/MyBank/Home/Login,2016-08-24 02:54:33.215000,12,32673362
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:55:11.309000,13,32673362
https://www.mybank.com.tw/MyBank/Quicklinks/Home,2016-08-24 02:55:23.979000,14,32673362
https://www.cathaybk.com.tw/cathaybk/OnlineLoan_card_apply.asp,2016-08-24 02:00:29.122000,54,32673390
https://www.cathaybk.com.tw/cathaybk/OnlineLoan/creditcard/card_apply/index.aspx,2016-08-24 02:00:29.263000,55,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:00:56.458000,56,32673390
https://www.cathaybk.com.tw/cathaybk/card/index.asp,2016-08-24 02:09:06,57,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:09:08.210000,58,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/cashback/index.html,2016-08-24 02:09:13.595000,59,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/cashback/index.html,2016-08-24 02:09:29.294000,60,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/cashback/offers.html,2016-08-24 02:09:33.285000,61,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/cashback/service.html,2016-08-24 02:12:34.600000,62,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/cashback/offers.html,2016-08-24 02:12:39.447000,63,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/card_15.asp,2016-08-24 02:19:29.263000,64,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:20:43.480000,65,32673390
https://www.cathaybk.com.tw/cathaybk/card/card/card.asp,2016-08-24 02:01:01.563000,4,32673393
https://www.cathaybk.com.tw/cathaybk/card/index.asp,2016-08-24 02:01:07.840000,5,32673393
app://com.cathaybk.mymobibank.android.app/GoodActivity,2016-08-24 02:01:56.771000,3,32673504
app://com.cathaybk.mymobibank.android.app/GoodDetailActivity,2016-08-24 02:01:57.670000,4,32673504
app://com.cathaybk.mymobibank.android.app/TabBarActivity,2016-08-24 02:01:57.286000,5,32673504
app://com.cathaybk.mymobibank.android.app/SweetTabGroupActivity,2016-08-24 02:01:57.465000,6,32673504
app://com.cathaybk.mymobibank.android.app/GoodActivity,2016-08-24 02:01:57.652000,7,32673504
app://com.cathaybk.mymobibank.android.app/LastestTabGroup,2016-08-24 02:12:18.984000,8,32673504
app://com.cathaybk.mymobibank.android.app/LastestActivity,2016-08-24 02:12:24.750000,9,32673504
app://com.cathaybk.mymobibank.android.app/TabBarActivity,2016-08-24 02:12:24.938000,10,32673504
app://com.cathaybk.mymobibank.android.app/LastestTabGroup,2016-08-24 02:12:25.157000,11,32673504
app://com.cathaybk.mymobibank.android.app/LastestActivity,2016-08-24 02:12:25.432000,12,32673504
app://com.cathaybk.mymobibank.android.app/NewMyBank,2016-08-24 02:12:25.666000,13,32673504
app://com.cathaybk.mymobibank.android.app/ExchangeActivity,2016-08-24 02:13:09.554000,14,32673504
https://www.mybank.com.tw/MyBank/Quicklinks/Home/Logout,2016-08-24 02:04:55.910000,6,32673510
https://www.cathaybk.com.tw/cathaybk/,2016-08-24 02:08:01.651000,2,32673596
https://www.cathaybk.com.tw/cathaybk/card/event/2016/card_news1050616_login02.asp,2016-08-24 02:01:26.990000,13,32673617
https://www.cathaybk.com.tw/cathaybk/card/event/bonus_index.asp,2016-08-24 02:02:13.177000,14,32673617
https://www.cathaybk.com.tw/cathaybk/card/event/bonus/bonus_2.asp,2016-08-24 02:02:28.388000,15,32673617
