PageLocation,EventTimestamp,PageSequenceInSession,SessionNumber
app://com.cathaybk.koko.android.app/CategoryManagementActivity,2016-08-24 07:00:38.416000,161,32681374
app://com.cathaybk.koko.android.app/EditSubCategoryActivity,2016-08-24 07:00:40.581000,162,32681374
app://com.cathaybk.koko.android.app/CategoryManagementActivity,2016-08-24 07:00:43.657000,163,32681374
app://com.cathaybk.koko.android.app/EditSubCategoryActivity,2016-08-24 07:00:45.751000,164,32681374
app://com.cathaybk.koko.android.app/CategoryManagementActivity,2016-08-24 07:00:54.871000,165,32681374
app://com.cathaybk.koko.android.app/EditSubCategoryActivity,2016-08-24 07:01:08.700000,166,32681374
app://com.cathaybk.koko.android.app/CategoryManagementActivity,2016-08-24 07:03:58.631000,167,32681374
app://com.cathaybk.koko.android.app/OtherActivity,2016-08-24 07:04:00.721000,168,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 07:04:01.831000,169,32681374
app://com.cathaybk.koko.android.app/BudgetEditActivity2,2016-08-24 07:04:11.958000,170,32681374
app://com.cathaybk.koko.android.app/BudgetQrcodeDetailActivity,2016-08-24 07:05:13.396000,171,32681374
app://com.cathaybk.koko.android.app/BudgetEditActivity2,2016-08-24 07:05:34.496000,172,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 07:05:51.911000,173,32681374
app://com.cathaybk.koko.android.app/MessageActivity,2016-08-24 07:05:58.149000,174,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:05:59.252000,175,32681374
app://com.cathaybk.koko.android.app/BudgetEditActivity2,2016-08-24 07:06:03.464000,176,32681374
app://com.cathaybk.koko.android.app/BudgetQrcodeDetailActivity,2016-08-24 07:06:05.545000,177,32681374
app://com.cathaybk.koko.android.app/BudgetEditActivity2,2016-08-24 07:06:09.643000,178,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:06:43.833000,179,32681374
app://com.cathaybk.koko.android.app/AccountActivity2,2016-08-24 07:06:58.120000,180,32681374
app://com.cathaybk.koko.android.app/OtherActivity,2016-08-24 07:07:05.231000,181,32681374
app://com.cathaybk.koko.android.app/AccountActivity2,2016-08-24 07:07:07.400000,182,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:07:08.475000,183,32681374
app://com.cathaybk.koko.android.app/BudgetEditActivity2,2016-08-24 07:07:12.711000,184,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:07:14.787000,185,32681374
app://com.cathaybk.koko.android.app/BudgetAnalysisActivity,2016-08-24 07:07:20.129000,186,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:07:26.288000,187,32681374
app://com.cathaybk.koko.android.app/BudgetAnalysisActivity,2016-08-24 07:07:28.455000,188,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:07:29.611000,189,32681374
app://com.cathaybk.koko.android.app/HomeActivity,2016-08-24 07:07:30.862000,190,32681374
app://com.cathaybk.koko.android.app/BudgetActivity,2016-08-24 07:07:37.938000,191,32681374
app://com.cathaybk.koko.android.app/AccountActivity2,2016-08-24 07:07:54.344000,192,32681374
app://com.cathaybk.koko.android.app/OtherActivity,2016-08-24 07:08:03.433000,193,32681374
app://com.cathaybk.koko.android.app/CategoryManagementActivity,2016-08-24 07:08:12.547000,194,32681374
